16:37:36.969 INFO [Node.h:499                    ] >> NODE VERSION_COMMAND_CLASS_GET CC [0x72] to node 12
16:37:37.035 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
16:37:37.078 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
16:37:37.102 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=7B [0]=0x00
16:37:37.103 INFO [Device.cpp:28                 ] << VERSION_COMMAND_CLASS_REPORT: node=12 cc=0x72 version=1
16:37:37.109 INFO [Node.h:499                    ] >> NODE VERSION_COMMAND_CLASS_GET CC [0x75] to node 12
16:37:37.176 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
16:37:37.218 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
16:37:37.243 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=7B [0]=0x00
16:37:37.243 INFO [Device.cpp:28                 ] << VERSION_COMMAND_CLASS_REPORT: node=12 cc=0x75 version=2
16:37:37.251 INFO [Node.h:499                    ] >> NODE VERSION_COMMAND_CLASS_GET CC [0x85] to node 12
16:37:37.317 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
16:37:37.360 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
16:37:37.384 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=7B [0]=0x00
16:37:37.384 INFO [Device.cpp:28                 ] << VERSION_COMMAND_CLASS_REPORT: node=12 cc=0x85 version=1
16:37:37.390 INFO [Node.h:499                    ] >> NODE VERSION_COMMAND_CLASS_GET CC [0x86] to node 12
16:37:37.456 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
16:37:37.499 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
16:37:37.522 INFO [Z_Wave.h:109                  ] << [REQ] 0x04 ZW_API_APPLICATION_COMMAND_HANDLER | payload=7B [0]=0x00
16:37:37.523 INFO [Device.cpp:28                 ] << VERSION_COMMAND_CLASS_REPORT: node=12 cc=0x86 version=1
16:37:37.530 INFO [Node.h:526                    ] >> NODE MANUFACTURER_SPECIFIC_COMMAND_CLASS_GET to node 12
16:37:37.596 INFO [Z_Wave.h:109                  ] << [RES] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=1B [0]=0x01
16:37:37.639 INFO [Z_Wave.h:109                  ] << [REQ] 0x13 ZW_API_CONTROLLER_SEND_DATA | payload=2B [0]=0x05
